序号,公开(公告)号,标题,摘要,当前申请(专利权)人地市,当前申请(专利权)人州/省,当前申请(专利权)人,原始申请(专利权)人,申请日,IPC主分类号(小组),IPC主分类号(小组)释义,被引用专利,引用专利,5年内被引用数量,3年内被引用数量,Patsnap同族专利申请数量,专利类型,许可人,被许可人,法律状态/事件,当前申请(专利权)人区县,预估到期日,受理局,摘要(译)(简体中文),标题(译)(简体中文),IPC主分类号(大组)释义,IPC主分类号(大组),IPC主分类号(小类),IPC主分类号(小类)释义,授权日
,CN210525117U,一种人形机器人用夹持装置,本实用新型涉及机器人技术领域，尤其为一种人形机器人用夹持装置，包括机器人本体、机械手臂、连接臂和卡盘，所述机器人本体的两侧位置上设置有机械手臂，两个所述机械手臂下端的内部设置有转动电机，所述机械手臂的下方位置上设置有连接臂，所述连接臂的上端安装有卡盘，所述卡盘内部的下方位置上安装座，所述安装座的上表面上设置有安装盘，所述安装盘与安装座之间转动连接，所述安装盘下方的圆周面上安装有环形齿条，所述环形齿条的左下方位置上安装有锥形齿轮；本实用新型中，通过设置机体和半锥形壳体，增加了装置自主下料以及定量下料的功能，避免在取料时会带入空气，影响其余茶叶的保存效果。,烟台,山东,烟台启创科技发展有限公司,青岛太敬机器人有限公司,2019/7/12,B25J15/00,夹头[2006.01],CN116945811A,-,1,1,1,实用新型,-,-,未缴年费 | 权利转移,海阳市,2029/7/12,中国,本实用新型涉及机器人技术领域，尤其为一种人形机器人用夹持装置，包括机器人本体、机械手臂、连接臂和卡盘，所述机器人本体的两侧位置上设置有机械手臂，两个所述机械手臂下端的内部设置有转动电机，所述机械手臂的下方位置上设置有连接臂，所述连接臂的上端安装有卡盘，所述卡盘内部的下方位置上安装座，所述安装座的上表面上设置有安装盘，所述安装盘与安装座之间转动连接，所述安装盘下方的圆周面上安装有环形齿条，所述环形齿条的左下方位置上安装有锥形齿轮；本实用新型中，通过设置机体和半锥形壳体，增加了装置自主下料以及定量下料的功能，避免在取料时会带入空气，影响其余茶叶的保存效果。,一种人形机器人用夹持装置,夹头[2006.01],B25J15,B25J,机械手；装有操纵装置的容器（单独采摘水果、蔬菜、啤酒花或类似作物的自动装置入A01D46/30；外科用的针头操纵器入A61B17/062；与滚轧机有关的机械手入B21B39/20；与锻压机有关的机械手入B21J13/10；夹持轮子或其部件的装置入B60B30/00；起重机入B66C；用于核反应堆中所用的燃料或其他材料的处理设备入G21C19/00；机械手与加有防辐射的小室或房间的组合结构入G21F7/06）〔5〕[2006.01],2020/5/15
,CN114147745A,一种基于3D打印的空间站舱内活动人形机器人,本发明公开了一种基于3D打印的空间站舱内活动人形机器人，包括头部、颈部、躯干、左臂、右臂、左手、右手、腰部、左腿、右腿和控制系统；机器人设计为人形结构，能够无差别地使用人类航天员使用的工具和人机接口开展空间活动，利于机器人同航天员协作及代替航天员开展工作；机器人在舱内采用模仿航天员在失重条件下的漂浮运动方式，活动和作业范围广；通过小型化关节驱动与传动设计，降低机器人结构与关节质量，提高机器人动态响应特性，适应微重力应用场景。,湖州,浙江,浙江大学湖州研究院,浙江大学湖州研究院,2021/12/14,B25J11/00,不包含在其他组的机械手[2006.01],US12583126B2,CN106737584A | CN108214520A | CN1283146A | CN1289665A | CN209134224U | JP2001150371A | JP2006159296A | US6332372B1,1,0,1,发明申请,-,-,撤回-视为撤回,吴兴区,-,中国,本发明公开了一种基于3D打印的空间站舱内活动人形机器人，包括头部、颈部、躯干、左臂、右臂、左手、右手、腰部、左腿、右腿和控制系统；机器人设计为人形结构，能够无差别地使用人类航天员使用的工具和人机接口开展空间活动，利于机器人同航天员协作及代替航天员开展工作；机器人在舱内采用模仿航天员在失重条件下的漂浮运动方式，活动和作业范围广；通过小型化关节驱动与传动设计，降低机器人结构与关节质量，提高机器人动态响应特性，适应微重力应用场景。,一种基于3D打印的空间站舱内活动人形机器人,不包含在其他组的机械手[2006.01],B25J11,B25J,机械手；装有操纵装置的容器（单独采摘水果、蔬菜、啤酒花或类似作物的自动装置入A01D46/30；外科用的针头操纵器入A61B17/062；与滚轧机有关的机械手入B21B39/20；与锻压机有关的机械手入B21J13/10；夹持轮子或其部件的装置入B60B30/00；起重机入B66C；用于核反应堆中所用的燃料或其他材料的处理设备入G21C19/00；机械手与加有防辐射的小室或房间的组合结构入G21F7/06）〔5〕[2006.01],-
,CN208306790U,一种轮式运动的人形机器人,本实用新型公开了一种轮式运动的人形机器人，包括：主连接件，其设置在所述机器人顶部；起始舵机，其一端与所述主连接件底部固定连接；起始活动件，其具有起始活动开口，所述起始舵机的另一端可转动的设置在所述起始活动开口内；支撑件；驱动电机，其与所述支撑件固定连接，且动力输出端连接所述机器人的驱动轮；其中，所述支撑件与所述起始活动件可拆卸连接；或者在所述起始活动件和所述支撑件之间设置多个活动连接部；所述活动连接部包括：活动舵机；U型固定件；U型活动件；其中，所述活动连接部的起始U型固定件与所述起始活动件可拆卸的连接，结束U型活动件与所述支撑件可拆卸的连接。使机器人能够适应不同地形的变化。,长春,吉林,吉林大学,吉林大学,2018/6/22,B62D57/028,..有轮子和机械支腿的（B62D57/024优先；适于支承、升举或操纵车辆的整体或部分的接地车辆入B60S9/00）[2006.01],CN108622225A,-,0,0,2,实用新型,-,-,未缴年费 | 一案双申,朝阳区,2028/6/22,中国,本实用新型公开了一种轮式运动的人形机器人，包括：主连接件，其设置在所述机器人顶部；起始舵机，其一端与所述主连接件底部固定连接；起始活动件，其具有起始活动开口，所述起始舵机的另一端可转动的设置在所述起始活动开口内；支撑件；驱动电机，其与所述支撑件固定连接，且动力输出端连接所述机器人的驱动轮；其中，所述支撑件与所述起始活动件可拆卸连接；或者在所述起始活动件和所述支撑件之间设置多个活动连接部；所述活动连接部包括：活动舵机；U型固定件；U型活动件；其中，所述活动连接部的起始U型固定件与所述起始活动件可拆卸的连接，结束U型活动件与所述支撑件可拆卸的连接。使机器人能够适应不同地形的变化。,一种轮式运动的人形机器人,仅以具有除车轮或履带以外的其他推进装置或接地装置为特征的车辆，或者以车轮或履带加上具有除车轮或履带以外的其他推进装置为特征的车辆（雪橇入B62B；机动雪橇入B62M）[2006.01],B62D57,B62D,机动车；挂车（农用机械或机具的转向机构或在所要求轨道上的引导装置入A01B69/00；车轮，脚轮，车轴，提高车轮的附着力入B60B；车用轮胎，轮胎充气或轮胎的更换入B60C；拖有挂车的牵引车或类似车辆之间的连接入B60D；轨道和道路两用车辆，两栖或可转换的车辆入B60F；悬架装置的配置入B60G；加热、冷却、通风或其他空气处理设备入B60H；车窗，挡风玻璃，非固定车顶，门或类似装置，车辆不用时的护套入B60J；动力装置的布置，辅助驱动装置，传动装置，控制机构，仪表或仪表板入B60K；电动车辆的电力装备或动力装置入B60L；电动车辆的电源线入B60M；其他类目不包含的乘客用设备入B60N；适用于货运或装载特殊货物或物体的入B60P；用于一般车辆信号或照明装置的布置，其安装或支承或者其电路入B60Q；其他类目不包含的车辆，车辆配件或车辆部件入B60R；其他类目不包含的保养，清洗，修理，支承，举升或调试入B60S；制动器布置，制动控制系统或其部件入B60T；气垫车入B60V；摩托车及其所用附件入B62J，B62K；车辆试验入G01M）,2019/1/1
,CN120299002A,一种基于transformer特征增强的人形机器人野外障碍识别方法,本发明公开了一种基于transformer特征增强的人形机器人野外障碍识别方法，包括以下步骤：步骤S1：首先使用相机获取环境的图像数据和激光雷达获取环境的点云数据；步骤S2：将在沙漠环境中采集的数据，制作成为后续模型训练检测的三维数据集；步骤S3：构建网络模型；步骤S4：对于雷达点云分支，获取体素特征和体素坐标，激光雷达分支遵循SECOND架构，该发明收集巡视探测路径上遇到的3D障碍区域的点云和图像数据，通过解析计算输出3D障碍物目标的信息，通过引入了动态特征索引(DFI)模块，使用离线校准获得的内外参数将点云的体素特征投影到图像坐标系，得到初始投影坐标，比使用雷达的内外参数直接将体素特征投影到图像上更加准确。,苏州,江苏,江苏云幕智造科技有限公司,江苏云幕智造科技有限公司,2025/3/24,G06V20/58,... 识别移动物体或障碍物，例如 车辆或行人； 识别交通对象，例如 交通标志、交通灯或道路[2022.01],-,CN118587686A,0,0,1,发明申请,-,-,实质审查,太仓市,-,中国,本发明公开了一种基于transformer特征增强的人形机器人野外障碍识别方法，包括以下步骤：步骤S1：首先使用相机获取环境的图像数据和激光雷达获取环境的点云数据；步骤S2：将在沙漠环境中采集的数据，制作成为后续模型训练检测的三维数据集；步骤S3：构建网络模型；步骤S4：对于雷达点云分支，获取体素特征和体素坐标，激光雷达分支遵循SECOND架构，该发明收集巡视探测路径上遇到的3D障碍区域的点云和图像数据，通过解析计算输出3D障碍物目标的信息，通过引入了动态特征索引(DFI)模块，使用离线校准获得的内外参数将点云的体素特征投影到图像坐标系，得到初始投影坐标，比使用雷达的内外参数直接将体素特征投影到图像上更加准确。,一种基于transformer特征增强的人形机器人野外障碍识别方法,场景；特定场景元素（控制数码相机入H04N 23/60） [2022.01],G06V20,G06V,图像或视频识别或理解 [2022.01],-
,CN218255155U,基于智能化的教育人形机器人,本实用新型涉及智能教育技术领域的基于智能化的教育人形机器人，包括机械躯干，机械躯干的底部设有驱动转轴，驱动转轴的底部设有机械胯，机械胯的底端两侧设有电动万向球，电动万向球的侧下方设有第一支撑腿，第一支撑腿的底部设有电动转轮，第一支撑腿的底部还设有第二支撑腿，第二支撑腿的底部设有脚掌。通过设有的机械胯，来实现机械躯干与第一支撑腿和第二支撑腿的连接，使其能够支撑起机械躯干，起到很好的支撑作用，再通过设有的电动万向球和电动转轮，来实现第一支撑腿与机械胯和第二支撑腿之间的活动性，从而来实现机器人通过双脚的移动功能，这样的设计有效的代替传统的移动盘驱动，大大提高了机器人在行动中的通行性，提升其实用性。,盐城,江苏,盐城忠达网络科技有限公司,盐城忠达网络科技有限公司,2021/8/5,B25J11/00,不包含在其他组的机械手[2006.01],-,-,0,0,1,实用新型,-,-,未缴年费,亭湖区,2031/8/5,中国,本实用新型涉及智能教育技术领域的基于智能化的教育人形机器人，包括机械躯干，机械躯干的底部设有驱动转轴，驱动转轴的底部设有机械胯，机械胯的底端两侧设有电动万向球，电动万向球的侧下方设有第一支撑腿，第一支撑腿的底部设有电动转轮，第一支撑腿的底部还设有第二支撑腿，第二支撑腿的底部设有脚掌。通过设有的机械胯，来实现机械躯干与第一支撑腿和第二支撑腿的连接，使其能够支撑起机械躯干，起到很好的支撑作用，再通过设有的电动万向球和电动转轮，来实现第一支撑腿与机械胯和第二支撑腿之间的活动性，从而来实现机器人通过双脚的移动功能，这样的设计有效的代替传统的移动盘驱动，大大提高了机器人在行动中的通行性，提升其实用性。,基于智能化的教育人形机器人,不包含在其他组的机械手[2006.01],B25J11,B25J,机械手；装有操纵装置的容器（单独采摘水果、蔬菜、啤酒花或类似作物的自动装置入A01D46/30；外科用的针头操纵器入A61B17/062；与滚轧机有关的机械手入B21B39/20；与锻压机有关的机械手入B21J13/10；夹持轮子或其部件的装置入B60B30/00；起重机入B66C；用于核反应堆中所用的燃料或其他材料的处理设备入G21C19/00；机械手与加有防辐射的小室或房间的组合结构入G21F7/06）〔5〕[2006.01],2023/1/10
,CN223507226U,一种人形机器人的仿生手臂,本实用新型涉及机器人技术领域，且公开了一种人形机器人的仿生手臂，包括仿生大臂和仿生手部，所述仿生大臂的外部设置有仿生小臂，所述仿生小臂的一端设置有连接柱，所述连接柱的内部开设有安装槽，所述仿生大臂的底端设置有AGV移动小车，所述仿生手部的外部设置有安装杆，所述连接柱的内部设置有限位组件，所述安装槽的内底壁设置有卡合组件，所述限位组件包括设置在所述连接柱内部的凹槽，所述凹槽的内部设置有限位环，所述限位环的内部设置有卡杆。本实用新型通过采用安装稳定，便于对手指进行替换拆卸维护，提高仿生手臂的使用寿命，从而便于对仿生手臂进行更好的进行使用，同时提高仿生手臂的安全性。,西安,陕西,西安食神电器科技有限公司,西安食神电器科技有限公司,2024/12/13,B25J18/00,爪臂[2006.01],-,-,0,0,1,实用新型,-,-,授权,-,2034/12/13,中国,本实用新型涉及机器人技术领域，且公开了一种人形机器人的仿生手臂，包括仿生大臂和仿生手部，所述仿生大臂的外部设置有仿生小臂，所述仿生小臂的一端设置有连接柱，所述连接柱的内部开设有安装槽，所述仿生大臂的底端设置有AGV移动小车，所述仿生手部的外部设置有安装杆，所述连接柱的内部设置有限位组件，所述安装槽的内底壁设置有卡合组件，所述限位组件包括设置在所述连接柱内部的凹槽，所述凹槽的内部设置有限位环，所述限位环的内部设置有卡杆。本实用新型通过采用安装稳定，便于对手指进行替换拆卸维护，提高仿生手臂的使用寿命，从而便于对仿生手臂进行更好的进行使用，同时提高仿生手臂的安全性。,一种人形机器人的仿生手臂,爪臂[2006.01],B25J18,B25J,机械手；装有操纵装置的容器（单独采摘水果、蔬菜、啤酒花或类似作物的自动装置入A01D46/30；外科用的针头操纵器入A61B17/062；与滚轧机有关的机械手入B21B39/20；与锻压机有关的机械手入B21J13/10；夹持轮子或其部件的装置入B60B30/00；起重机入B66C；用于核反应堆中所用的燃料或其他材料的处理设备入G21C19/00；机械手与加有防辐射的小室或房间的组合结构入G21F7/06）〔5〕[2006.01],2025/11/4
,CN215789963U,正交关节结构及人形机器人,本实用新型涉及人形机器人领域，提供一种正交关节结构及人形机器人。正交关节结构包括十字轴、轴座和转动件。十字轴包括正交设置的第一轴和第二轴；轴座包括基座以及固定于基座上的两个支座，两支座分设于第一轴的相对两端，支座设有可供第一轴的端部穿设于其中的转动孔；转动件包括分别套接至第二轴的相对两端的两个转动脚，转动件能够绕第二轴转动。该正交关节结构具有两个正交的转动自由度，从而便于人形机器人的踝关节等关节部位采用该正交关节结构，灵活实现俯仰运动和翻滚运动。且该正交关节结构的结构简单，便于加工，加工精度可较高、装配件数量较少，从而提高了传动精度。,深圳,广东,深圳市优必选科技股份有限公司,深圳市优必选科技股份有限公司,2021/7/30,B25J17/00,接头[2006.01],CN113547540A,-,0,0,2,实用新型,-,-,授权 | 一案双申,南山区,2031/7/30,中国,本实用新型涉及人形机器人领域，提供一种正交关节结构及人形机器人。正交关节结构包括十字轴、轴座和转动件。十字轴包括正交设置的第一轴和第二轴；轴座包括基座以及固定于基座上的两个支座，两支座分设于第一轴的相对两端，支座设有可供第一轴的端部穿设于其中的转动孔；转动件包括分别套接至第二轴的相对两端的两个转动脚，转动件能够绕第二轴转动。该正交关节结构具有两个正交的转动自由度，从而便于人形机器人的踝关节等关节部位采用该正交关节结构，灵活实现俯仰运动和翻滚运动。且该正交关节结构的结构简单，便于加工，加工精度可较高、装配件数量较少，从而提高了传动精度。,正交关节结构及人形机器人,接头[2006.01],B25J17,B25J,机械手；装有操纵装置的容器（单独采摘水果、蔬菜、啤酒花或类似作物的自动装置入A01D46/30；外科用的针头操纵器入A61B17/062；与滚轧机有关的机械手入B21B39/20；与锻压机有关的机械手入B21J13/10；夹持轮子或其部件的装置入B60B30/00；起重机入B66C；用于核反应堆中所用的燃料或其他材料的处理设备入G21C19/00；机械手与加有防辐射的小室或房间的组合结构入G21F7/06）〔5〕[2006.01],2022/2/11
,CN213197620U,一种人形机器人通风散热装置,本实用新型公开了一种人形机器人通风散热装置，包括主控制仓，所述主控制仓上端两侧均活动连接手臂，主控制仓下侧两端均安装有腿部，主控制仓上侧安装有头部，主控制仓相对两侧壁均安装有过滤网，主控制仓相对两侧壁内侧分别设置安装有第一轴流风机和第二轴流风机，第一轴流风机和第二轴流风机位于所述过滤网内侧，第一轴流风机和第二轴流风机均包括驱动轴流风机叶片旋转的电机，主控制仓内上部设置有电机正反转控制器和定时器，电机正反转控制器与电机和定时器分别电连接；本实用新型能够实现机器人主控制仓通风气体流通方向的定时改变，自动清理过滤网灰尘，为设置小孔径过滤网提供基础，有效减少灰尘对主控制仓内控制元件的污染。,重庆,重庆,胡书畅,胡书畅,2020/9/17,B25J19/00,与机械手配合的附属装置，例如用于监控、用于观察；与机械手组合的安全装置或专门适用于与机械手结合使用的安全装置（一般安全装置入F16P；一般防辐射装置入G21F）[2006.01],-,-,0,0,1,实用新型,-,-,未缴年费,万州区,2030/9/17,中国,本实用新型公开了一种人形机器人通风散热装置，包括主控制仓，所述主控制仓上端两侧均活动连接手臂，主控制仓下侧两端均安装有腿部，主控制仓上侧安装有头部，主控制仓相对两侧壁均安装有过滤网，主控制仓相对两侧壁内侧分别设置安装有第一轴流风机和第二轴流风机，第一轴流风机和第二轴流风机位于所述过滤网内侧，第一轴流风机和第二轴流风机均包括驱动轴流风机叶片旋转的电机，主控制仓内上部设置有电机正反转控制器和定时器，电机正反转控制器与电机和定时器分别电连接；本实用新型能够实现机器人主控制仓通风气体流通方向的定时改变，自动清理过滤网灰尘，为设置小孔径过滤网提供基础，有效减少灰尘对主控制仓内控制元件的污染。,一种人形机器人通风散热装置,与机械手配合的附属装置，例如用于监控、用于观察；与机械手组合的安全装置或专门适用于与机械手结合使用的安全装置（一般安全装置入F16P；一般防辐射装置入G21F）[2006.01],B25J19,B25J,机械手；装有操纵装置的容器（单独采摘水果、蔬菜、啤酒花或类似作物的自动装置入A01D46/30；外科用的针头操纵器入A61B17/062；与滚轧机有关的机械手入B21B39/20；与锻压机有关的机械手入B21J13/10；夹持轮子或其部件的装置入B60B30/00；起重机入B66C；用于核反应堆中所用的燃料或其他材料的处理设备入G21C19/00；机械手与加有防辐射的小室或房间的组合结构入G21F7/06）〔5〕[2006.01],2021/5/14
,CN120901918A,一种自动伸缩机构和轮臂人形机器人,本发明公开了一种自动伸缩机构和轮臂人形机器人，属于特种机器人技术领域，包括驱动组件、运动组件和固定组件；所述运动组件可相对固定组件上下伸缩；所述驱动组件用于驱动运动组件上下伸缩；所述固定组件包括一级固定管；所述运动组件包括二级行程管；所述二级行程管具有一端开放的第一内部空间，一级固定管上部分设置在第一内部空间；所述驱动组件设置在一级固定管顶部，驱动二级行程管沿一级固定管长度方向伸缩。本发明的自动伸缩机构和轮臂人形机器人，可以有效解决现有技术中轮臂机器人伸缩结构的竖直桅杆和升降托架以及其采用带式或链式传动方式的驱动结构造成其整体结构复杂、体积庞大不易维护，且不便于轮臂机器人的运输和收纳等问题。,成都,四川,成都人形机器人创新中心有限公司,成都人形机器人创新中心有限公司,2025/8/28,B25J9/00,程序控制机械手[2006.01],-,-,0,0,1,发明申请,-,-,实质审查,-,-,中国,本发明公开了一种自动伸缩机构和轮臂人形机器人，属于特种机器人技术领域，包括驱动组件、运动组件和固定组件；所述运动组件可相对固定组件上下伸缩；所述驱动组件用于驱动运动组件上下伸缩；所述固定组件包括一级固定管；所述运动组件包括二级行程管；所述二级行程管具有一端开放的第一内部空间，一级固定管上部分设置在第一内部空间；所述驱动组件设置在一级固定管顶部，驱动二级行程管沿一级固定管长度方向伸缩。本发明的自动伸缩机构和轮臂人形机器人，可以有效解决现有技术中轮臂机器人伸缩结构的竖直桅杆和升降托架以及其采用带式或链式传动方式的驱动结构造成其整体结构复杂、体积庞大不易维护，且不便于轮臂机器人的运输和收纳等问题。,一种自动伸缩机构和轮臂人形机器人,程序控制机械手[2006.01],B25J9,B25J,机械手；装有操纵装置的容器（单独采摘水果、蔬菜、啤酒花或类似作物的自动装置入A01D46/30；外科用的针头操纵器入A61B17/062；与滚轧机有关的机械手入B21B39/20；与锻压机有关的机械手入B21J13/10；夹持轮子或其部件的装置入B60B30/00；起重机入B66C；用于核反应堆中所用的燃料或其他材料的处理设备入G21C19/00；机械手与加有防辐射的小室或房间的组合结构入G21F7/06）〔5〕[2006.01],-
,CN209982131U,一种人形机器人充电电源充电支架结构,本实用新型公开了一种人形机器人充电电源充电支架结构，包括中空的电源主壳体，所述电源主壳体的左右两侧壁上分别设置有可前后转动的第一支架，所述电源主壳体的底面上设置有可前后转动的第二支架。本实用新型构思新颖、设计合理，且便于使用，使用时通过设置在电源主壳体内的无线充电线圈来充电，且通过在电源主壳体的对应位置上设置可转动的第一支架和第二支架来变化各种放置造型，以满足在使用时用电终端对充电电源的依附稳定，效果良好。,深圳,广东,深圳市非凡三十工业设计有限公司,深圳市非凡三十工业设计有限公司,2019/7/2,H02J7/00,用于电池组的充电或放电或用于由电池组向负载供电的装置[2026.01],-,-,0,0,1,实用新型,-,-,未缴年费,南山区,2029/7/2,中国,本实用新型公开了一种人形机器人充电电源充电支架结构，包括中空的电源主壳体，所述电源主壳体的左右两侧壁上分别设置有可前后转动的第一支架，所述电源主壳体的底面上设置有可前后转动的第二支架。本实用新型构思新颖、设计合理，且便于使用，使用时通过设置在电源主壳体内的无线充电线圈来充电，且通过在电源主壳体的对应位置上设置可转动的第一支架和第二支架来变化各种放置造型，以满足在使用时用电终端对充电电源的依附稳定，效果良好。,一种人形机器人充电电源充电支架结构,用于电池组的充电或放电或用于由电池组向负载供电的装置[2026.01],H02J7,H02J,电力网络;供电或配电的电路装置或系统；电能存储系统,2020/1/21
,CN121468498A,一种应用于人形机器人关节旋转的驱动装置,本发明涉及人形机器人技术领域，公开了一种应用于人形机器人关节旋转的驱动装置，包括电机组件，包括定子部件和转子部件；传动轴，与转子部件传动连接；偏心传动部件，偏心传动部件包括同轴设置且通过花键结构连接的偏心轴与偏心套，通过旋转偏心套能调整其相对于偏心轴的周向相位；多个摆线轮部件，通过轴承结构安装于偏心套上。本发明通过采用数量为四个的多个摆线轮并联传动结构，并在摆线轮之间设置间隔件以实现载荷的均载分配，使得驱动装置在相同体积下能够输出更大的扭矩，其扭矩密度远高于传统的双摆线轮减速器和谐波减速器，满足人形机器人关节极端工况下的高扭矩需求。,九江,江西,江西奥基德信精密制造有限公司,江西奥基德信精密制造有限公司,2026/1/9,B25J9/12,.. 电的[2006.01],-,-,0,0,1,发明申请,-,-,实质审查,湖口县,-,中国,本发明涉及人形机器人技术领域，公开了一种应用于人形机器人关节旋转的驱动装置，包括电机组件，包括定子部件和转子部件；传动轴，与转子部件传动连接；偏心传动部件，偏心传动部件包括同轴设置且通过花键结构连接的偏心轴与偏心套，通过旋转偏心套能调整其相对于偏心轴的周向相位；多个摆线轮部件，通过轴承结构安装于偏心套上。本发明通过采用数量为四个的多个摆线轮并联传动结构，并在摆线轮之间设置间隔件以实现载荷的均载分配，使得驱动装置在相同体积下能够输出更大的扭矩，其扭矩密度远高于传统的双摆线轮减速器和谐波减速器，满足人形机器人关节极端工况下的高扭矩需求。,一种应用于人形机器人关节旋转的驱动装置,程序控制机械手[2006.01],B25J9,B25J,机械手；装有操纵装置的容器（单独采摘水果、蔬菜、啤酒花或类似作物的自动装置入A01D46/30；外科用的针头操纵器入A61B17/062；与滚轧机有关的机械手入B21B39/20；与锻压机有关的机械手入B21J13/10；夹持轮子或其部件的装置入B60B30/00；起重机入B66C；用于核反应堆中所用的燃料或其他材料的处理设备入G21C19/00；机械手与加有防辐射的小室或房间的组合结构入G21F7/06）〔5〕[2006.01],-
,CN208117898U,双足人形机器人的脚底支撑组件,本实用新型公开了一种双足人形机器人的脚底支撑组件，包括固定于机器人的脚底的基座和与基座插接的支撑件，基座的下表面设有向内凹陷的插槽，插槽与基座的表面平行，插槽的侧壁为斜面且其倾斜方向自插槽的底面向顶部逐渐向插槽的中心倾斜，支撑件具有与插槽相匹配的插接块，插接块的侧面是与插槽的侧壁相匹配的斜面且斜面的倾斜度与插槽的侧壁一致。本实用新型使插接块紧密的插入插槽内，稳定性好，拆卸方便，实用性强，满足机器人在不同领域的需求。,苏州,江苏,昆山铭仁快速成型技术有限公司,昆山铭仁快速成型技术有限公司,2018/4/9,B25J19/00,与机械手配合的附属装置，例如用于监控、用于观察；与机械手组合的安全装置或专门适用于与机械手结合使用的安全装置（一般安全装置入F16P；一般防辐射装置入G21F）[2006.01],-,-,0,0,1,实用新型,-,-,未缴年费,昆山市,2028/4/9,中国,本实用新型公开了一种双足人形机器人的脚底支撑组件，包括固定于机器人的脚底的基座和与基座插接的支撑件，基座的下表面设有向内凹陷的插槽，插槽与基座的表面平行，插槽的侧壁为斜面且其倾斜方向自插槽的底面向顶部逐渐向插槽的中心倾斜，支撑件具有与插槽相匹配的插接块，插接块的侧面是与插槽的侧壁相匹配的斜面且斜面的倾斜度与插槽的侧壁一致。本实用新型使插接块紧密的插入插槽内，稳定性好，拆卸方便，实用性强，满足机器人在不同领域的需求。,双足人形机器人的脚底支撑组件,与机械手配合的附属装置，例如用于监控、用于观察；与机械手组合的安全装置或专门适用于与机械手结合使用的安全装置（一般安全装置入F16P；一般防辐射装置入G21F）[2006.01],B25J19,B25J,机械手；装有操纵装置的容器（单独采摘水果、蔬菜、啤酒花或类似作物的自动装置入A01D46/30；外科用的针头操纵器入A61B17/062；与滚轧机有关的机械手入B21B39/20；与锻压机有关的机械手入B21J13/10；夹持轮子或其部件的装置入B60B30/00；起重机入B66C；用于核反应堆中所用的燃料或其他材料的处理设备入G21C19/00；机械手与加有防辐射的小室或房间的组合结构入G21F7/06）〔5〕[2006.01],2018/11/20
,CN118682799B,机械拇指、灵巧手及人形机器人,本申请提供一种机械拇指、灵巧手及人形机器人。其中，机械拇指包括铰接座、第一指节和第二指节，铰接座用于与灵巧手的手掌结构绕第一轴线转动连接；第一指节包括指节壳体和设于指节壳体内的第一驱动组件，指节壳体与铰接座绕第二轴线转动连接；第二指节与指节壳体绕第三轴线转动连接；第一驱动组件用于驱动指节壳体绕第二轴线转动、并带动第二指节绕第三轴线转动；第二轴线和第三轴线均与第一轴线空间相交，使机械拇指实现三自由度的运动，能够产生更为复杂和自然的动作轨迹，模拟真实拇指的动作，提高动作仿真度；指节壳体集成传动功能和外观壳体，将第一驱动组件置于壳体的内部空间，起到保护的作用，提高机械拇指的外观仿真度。,上海,上海,上海傅利叶智能科技股份有限公司,上海傅利叶智能科技有限公司,2024/8/27,B25J15/00,夹头[2006.01],-,CN107932541A | WO2020024728A1,0,0,1,授权发明,-,-,授权,浦东新区,2044/8/27,中国,本申请提供一种机械拇指、灵巧手及人形机器人。其中，机械拇指包括铰接座、第一指节和第二指节，铰接座用于与灵巧手的手掌结构绕第一轴线转动连接；第一指节包括指节壳体和设于指节壳体内的第一驱动组件，指节壳体与铰接座绕第二轴线转动连接；第二指节与指节壳体绕第三轴线转动连接；第一驱动组件用于驱动指节壳体绕第二轴线转动、并带动第二指节绕第三轴线转动；第二轴线和第三轴线均与第一轴线空间相交，使机械拇指实现三自由度的运动，能够产生更为复杂和自然的动作轨迹，模拟真实拇指的动作，提高动作仿真度；指节壳体集成传动功能和外观壳体，将第一驱动组件置于壳体的内部空间，起到保护的作用，提高机械拇指的外观仿真度。,机械拇指、灵巧手及人形机器人,夹头[2006.01],B25J15,B25J,机械手；装有操纵装置的容器（单独采摘水果、蔬菜、啤酒花或类似作物的自动装置入A01D46/30；外科用的针头操纵器入A61B17/062；与滚轧机有关的机械手入B21B39/20；与锻压机有关的机械手入B21J13/10；夹持轮子或其部件的装置入B60B30/00；起重机入B66C；用于核反应堆中所用的燃料或其他材料的处理设备入G21C19/00；机械手与加有防辐射的小室或房间的组合结构入G21F7/06）〔5〕[2006.01],2024/12/17
