公开(公告)号,标题,摘要,当前申请(专利权)人地市,当前申请(专利权)人州/省,当前申请(专利权)人,原始申请(专利权)人,申请日,IPC主分类号(小组),IPC主分类号(小组)释义,被引用专利,引用专利,5年内被引用数量,3年内被引用数量,Patsnap同族专利申请数量,专利类型,许可人,被许可人,法律状态/事件,当前申请(专利权)人区县,预估到期日,受理局,摘要(译)(简体中文),标题(译)(简体中文),IPC主分类号(大组)释义,IPC主分类号(大组),IPC主分类号(小类),IPC主分类号(小类)释义,授权日
CN118404594A,一种基于气动的仿人形机器人,本申请适用于机器人技术领域，提供了一种基于气动的仿人形机器人，包括腰关节，腰关节通过上侧板转动连接有上肢关节，腰关节通过下侧板转动连接有下肢关节；腰关节至少有执行元件组和中间板，执行元件组包括多个相同的执行元件，执行元件转动连接在上侧板与中间板之间和中间板与下侧板之间，执行元件包括：连接件一、连接件二、气缸和气动肌肉，气缸的气缸端铰接连接件二，气缸的活塞杆铰接连接件一，气动肌肉与气缸平行设置，气动肌肉的一端铰接连接板一，另一端铰接连接板二；本申请将其气缸与气动肌肉并联设置组成执行元件，既提供坚固的支撑又较好的适应环境的需要，设置上下两组执行元件，保证了腰关节的运动范围与负载能力。,嘉兴,浙江,嘉兴大学,嘉兴学院,2023-05-23,B25J11/00,不包含在其他组的机械手[2006.01],-,-,0,0,1,发明申请,-,-,实质审查,南湖区,-,中国,本申请适用于机器人技术领域，提供了一种基于气动的仿人形机器人，包括腰关节，腰关节通过上侧板转动连接有上肢关节，腰关节通过下侧板转动连接有下肢关节；腰关节至少有执行元件组和中间板，执行元件组包括多个相同的执行元件，执行元件转动连接在上侧板与中间板之间和中间板与下侧板之间，执行元件包括：连接件一、连接件二、气缸和气动肌肉，气缸的气缸端铰接连接件二，气缸的活塞杆铰接连接件一，气动肌肉与气缸平行设置，气动肌肉的一端铰接连接板一，另一端铰接连接板二；本申请将其气缸与气动肌肉并联设置组成执行元件，既提供坚固的支撑又较好的适应环境的需要，设置上下两组执行元件，保证了腰关节的运动范围与负载能力。,一种基于气动的仿人形机器人,不包含在其他组的机械手[2006.01],B25J11,B25J,机械手；装有操纵装置的容器（单独采摘水果、蔬菜、啤酒花或类似作物的自动装置入A01D46/30；外科用的针头操纵器入A61B17/062；与滚轧机有关的机械手入B21B39/20；与锻压机有关的机械手入B21J13/10；夹持轮子或其部件的装置入B60B30/00；起重机入B66C；用于核反应堆中所用的燃料或其他材料的处理设备入G21C19/00；机械手与加有防辐射的小室或房间的组合结构入G21F7/06）〔5〕[2006.01],-
CN119344733A,一种基于多源信息感知的抑郁症诊疗一体化人形机器人,本申请公开了一种基于多源信息感知的抑郁症诊疗一体化人形机器人，属于医疗仪器领域，包括穿戴在人体外部的头部模块、躯干模块和四肢模块，头部模块的内部配置有高分辨率摄像头、小型集成式麦克风阵列、气敏传感器、光电传感器、压力传感器、红外传感器和数控芯片；高分辨率摄像头用于采集用户的面部识别和眼球运动特征；小型集成式麦克风阵列对人体声音动态进行采集。本发明可以实现抑郁症的早期预警、精准诊断、个性化治疗和有效陪伴，提高抑郁症诊断的准确性和客观性，通过多源信息感知，全面评估患者病情，提供全天候情感陪伴，改善患者心理状态，提高治疗依从性，有助于缓解医疗资源分布不均问题，使偏远地区患者也能获得高质量诊疗服务。,深圳,广东,香港中文大学(深圳),香港中文大学(深圳),2024-12-26,A61B5/16,. 心理术装置（使用教具的入G09B1/00-G09B7/00）；测试反应的时间[2006.01],CN120340771A,CN109272988A | CN110335587A | CN113674767A | CN114724224A | CN115399773A | CN116440383A | CN117481652A | CN117936094A | CN118173286A | CN118471550A | CN119112188A | CN119153063A,1,1,1,发明申请,-,-,驳回,龙岗区,-,中国,本申请公开了一种基于多源信息感知的抑郁症诊疗一体化人形机器人，属于医疗仪器领域，包括穿戴在人体外部的头部模块、躯干模块和四肢模块，头部模块的内部配置有高分辨率摄像头、小型集成式麦克风阵列、气敏传感器、光电传感器、压力传感器、红外传感器和数控芯片；高分辨率摄像头用于采集用户的面部识别和眼球运动特征；小型集成式麦克风阵列对人体声音动态进行采集。本发明可以实现抑郁症的早期预警、精准诊断、个性化治疗和有效陪伴，提高抑郁症诊断的准确性和客观性，通过多源信息感知，全面评估患者病情，提供全天候情感陪伴，改善患者心理状态，提高治疗依从性，有助于缓解医疗资源分布不均问题，使偏远地区患者也能获得高质量诊疗服务。,一种基于多源信息感知的抑郁症诊疗一体化人形机器人,用于诊断目的的测量（放射诊断入A61B6/00；超声波、声波或次声波诊断入A61B8/00）；人的辨识[2006.01],A61B5,A61B,诊断；手术；识别（仅限于动物的用途入A61D）,-
CN121535769A,一种多自由度人形机器人灵巧手及其关节用行星减速模组,本发明提供了一种多自由度人形机器人灵巧手及其关节用行星减速模组，涉及人形手技术领域，行星减速模组包括三级行星减速机和类球状的行星电机，三级行星减速机包括内齿圈、第一行星架、第二行星架、第三行星架、第一行星轮、第一输入齿轮、第二行星轮、第二输入齿轮、第三行星轮、第三输入齿轮；灵巧手包括手掌、手腕和五根手指，手腕处设有旋转主关节、弯曲主关节和摆动主关节，手指包括从指根向指尖方向依次设置的J1关节、J2关节、J3关节及J4关节；J1关节为张开关节且使用上述行星减速模组，J2关节、J3关节及J4关节为弯曲关节，旋转主关节、弯曲主关节、摆动主关节及J2关节采用RV减速模组，J3关节和J4关节采用谐波减速模组。,南通,江苏,南通湘君机器人有限公司,南通湘君机器人有限公司,2025-12-10,B25J15/00,夹头[2006.01],-,-,0,0,1,发明申请,-,-,实质审查,海门市,-,中国,本发明提供了一种多自由度人形机器人灵巧手及其关节用行星减速模组，涉及人形手技术领域，行星减速模组包括三级行星减速机和类球状的行星电机，三级行星减速机包括内齿圈、第一行星架、第二行星架、第三行星架、第一行星轮、第一输入齿轮、第二行星轮、第二输入齿轮、第三行星轮、第三输入齿轮；灵巧手包括手掌、手腕和五根手指，手腕处设有旋转主关节、弯曲主关节和摆动主关节，手指包括从指根向指尖方向依次设置的J1关节、J2关节、J3关节及J4关节；J1关节为张开关节且使用上述行星减速模组，J2关节、J3关节及J4关节为弯曲关节，旋转主关节、弯曲主关节、摆动主关节及J2关节采用RV减速模组，J3关节和J4关节采用谐波减速模组。,一种多自由度人形机器人灵巧手及其关节用行星减速模组,夹头[2006.01],B25J15,B25J,机械手；装有操纵装置的容器（单独采摘水果、蔬菜、啤酒花或类似作物的自动装置入A01D46/30；外科用的针头操纵器入A61B17/062；与滚轧机有关的机械手入B21B39/20；与锻压机有关的机械手入B21J13/10；夹持轮子或其部件的装置入B60B30/00；起重机入B66C；用于核反应堆中所用的燃料或其他材料的处理设备入G21C19/00；机械手与加有防辐射的小室或房间的组合结构入G21F7/06）〔5〕[2006.01],-
CN121018562A,人形机器人采集、训练、评估一体化方法及系统,本发明提供一种人形机器人采集－训练－评估一体化方法及系统，利用主从控制的遥操作设备采集操作人员操作数据并进行优化；控制机械臂进行响应并在机械臂运动过程中进行数据采集；对采集到的数据进行处理与存储；将处理加工后的所需信息用于机器人的推理训练过程，形成推理模型；推理训练结果部署到机器人，使机器人能够开始执行测试任务；采集机器人执行过程的真实数据并对机器人训练的运动效果进行评估判定；对于不符合评估标准的机器人训练推理模型进行优化，从评估结果中有目的性地进行数据采集过程及训练推理过程优化，形成“训‑调‑纠”全流程数据主动发现与利用机制，以此加快构建高质量、多模态的通用具身智能数据集，减少对真实数据采集的依赖，增强机器人感知、理解、推理和通用泛化能力。本发明解决了机器人训练过程中，训练数据与评估指标分离割裂无法使采集‑训练‑评估过程实现一体化闭环，从而使评估结果无法作用于机器人训练改进过程，无法实现评估结果反作用于机器人训练的良性循环的问题。,合肥,安徽,江淮前沿技术协同创新中心,江淮前沿技术协同创新中心,2025-09-11,B25J9/16,.程序控制（全面生产控制，即集中控制多台机器入G05B19/418）[2006.01],CN121366302A | CN121366302B,CN117957550A | CN118721181A | CN119304909A | CN119319579A | CN120067092A | CN120116237A | US20240100694A1,2,2,1,发明申请,-,-,实质审查,-,-,中国,本发明提供一种人形机器人采集－训练－评估一体化方法及系统，利用主从控制的遥操作设备采集操作人员操作数据并进行优化；控制机械臂进行响应并在机械臂运动过程中进行数据采集；对采集到的数据进行处理与存储；将处理加工后的所需信息用于机器人的推理训练过程，形成推理模型；推理训练结果部署到机器人，使机器人能够开始执行测试任务；采集机器人执行过程的真实数据并对机器人训练的运动效果进行评估判定；对于不符合评估标准的机器人训练推理模型进行优化，从评估结果中有目的性地进行数据采集过程及训练推理过程优化，形成“训‑调‑纠”全流程数据主动发现与利用机制，以此加快构建高质量、多模态的通用具身智能数据集，减少对真实数据采集的依赖，增强机器人感知、理解、推理和通用泛化能力。本发明解决了机器人训练过程中，训练数据与评估指标分离割裂无法使采集‑训练‑评估过程实现一体化闭环，从而使评估结果无法作用于机器人训练改进过程，无法实现评估结果反作用于机器人训练的良性循环的问题。,人形机器人采集、训练、评估一体化方法及系统,程序控制机械手[2006.01],B25J9,B25J,机械手；装有操纵装置的容器（单独采摘水果、蔬菜、啤酒花或类似作物的自动装置入A01D46/30；外科用的针头操纵器入A61B17/062；与滚轧机有关的机械手入B21B39/20；与锻压机有关的机械手入B21J13/10；夹持轮子或其部件的装置入B60B30/00；起重机入B66C；用于核反应堆中所用的燃料或其他材料的处理设备入G21C19/00；机械手与加有防辐射的小室或房间的组合结构入G21F7/06）〔5〕[2006.01],-
CN120865557A,应用于人形机器人的聚醚醚酮材料,本发明公开了应用于人形机器人的聚醚醚酮材料，通过改性聚醚醚酮和改性纤维素混合后，在二苯甲酮的作用下，紫外光照射反应制得，该聚醚醚酮材料分子中，聚醚醚酮分子主链中含有二硫键，聚醚醚酮分子主链与侧链的聚硅氧烷之间含有亚胺结构，聚硅氧烷链段与纤维素分子链之间含有硼酸酯，进而在材料分子中形成动态交联网络，在外力作用下，动态交联网络优先吸收能量断裂，在断裂后又快速重组恢复网络，在断裂和恢复过程应力通过重组键重新分布，避免了应力集中导致裂纹扩展，有机硅链段含柔性‑Si‑O‑骨架与纤维素分子配合，能够增大聚醚醚酮分子链间距降低玻璃化转变温度，提升低温链段活动性，使得材料在低温环境仍然具有很好的韧性此。,深圳,广东,深圳市富恒新材料股份有限公司,深圳市富恒新材料股份有限公司,2025-07-29,C08G81/00,在没有单体存在时，由聚合物相互作用得到的高分子化合物，如嵌段聚合物（只包括有碳-碳不饱和键反应的入C08F299/00）[2006.01],-,-,0,0,1,发明申请,-,-,实质审查,宝安区,-,中国,本发明公开了应用于人形机器人的聚醚醚酮材料，通过改性聚醚醚酮和改性纤维素混合后，在二苯甲酮的作用下，紫外光照射反应制得，该聚醚醚酮材料分子中，聚醚醚酮分子主链中含有二硫键，聚醚醚酮分子主链与侧链的聚硅氧烷之间含有亚胺结构，聚硅氧烷链段与纤维素分子链之间含有硼酸酯，进而在材料分子中形成动态交联网络，在外力作用下，动态交联网络优先吸收能量断裂，在断裂后又快速重组恢复网络，在断裂和恢复过程应力通过重组键重新分布，避免了应力集中导致裂纹扩展，有机硅链段含柔性‑Si‑O‑骨架与纤维素分子配合，能够增大聚醚醚酮分子链间距降低玻璃化转变温度，提升低温链段活动性，使得材料在低温环境仍然具有很好的韧性此。,应用于人形机器人的聚醚醚酮材料,在没有单体存在时，由聚合物相互作用得到的高分子化合物，如嵌段聚合物（只包括有碳-碳不饱和键反应的入C08F299/00）[2006.01],C08G81,C08G,用碳-碳不饱和键以外的反应得到的高分子化合物 （发酵或使用酶的方法合成目标化合物或组合物或从外消旋混 合物中分离旋光异构体入 C12P）〔2〕,-
CN119389326B,一种人形机器人下肢结构及机器人,本发明涉及一种人形机器人下肢结构及机器人，其中下肢结构包括：髋部单元，大腿单元，小腿单元，脚部单元；髋部单元包括：髋部座体，第一关节结构，大腿摆动驱动，大腿旋转驱动和大腿侧摆驱动；第一关节结构包括：第一活动座，第二活动座；大腿摆动驱动安装在髋部座体的内侧，且其输出转轴与第一活动座相连接；大腿旋转驱动与第二活动座固定连接，且其输出转轴与大腿单元的上端相连接；大腿侧摆驱动与第一活动座固定连接，且其输出转轴与第二活动座相连接；大腿摆动驱动的转轴轴向与第一方向相平行；大腿侧摆驱动的转轴轴向与第一方向相垂直；大腿旋转驱动的转轴轴向分别与第一方向和大腿侧摆驱动的转轴轴向相垂直的设置。,长沙,湖南,中国人民解放军国防科技大学,中国人民解放军国防科技大学,2025-01-03,B62D57/032,..带交替升起或顺序升起的支承座或支腿；带交替或顺序升起的支腿或滑道（B62D57/024优先）[2006.01],-,CN113460188A | CN118289111A | CN119018264A,0,0,1,授权发明,-,-,授权,开福区,2045-01-03,中国,本发明涉及一种人形机器人下肢结构及机器人，其中下肢结构包括：髋部单元，大腿单元，小腿单元，脚部单元；髋部单元包括：髋部座体，第一关节结构，大腿摆动驱动，大腿旋转驱动和大腿侧摆驱动；第一关节结构包括：第一活动座，第二活动座；大腿摆动驱动安装在髋部座体的内侧，且其输出转轴与第一活动座相连接；大腿旋转驱动与第二活动座固定连接，且其输出转轴与大腿单元的上端相连接；大腿侧摆驱动与第一活动座固定连接，且其输出转轴与第二活动座相连接；大腿摆动驱动的转轴轴向与第一方向相平行；大腿侧摆驱动的转轴轴向与第一方向相垂直；大腿旋转驱动的转轴轴向分别与第一方向和大腿侧摆驱动的转轴轴向相垂直的设置。,一种人形机器人下肢结构及机器人,仅以具有除车轮或履带以外的其他推进装置或接地装置为特征的车辆，或者以车轮或履带加上具有除车轮或履带以外的其他推进装置为特征的车辆（雪橇入B62B；机动雪橇入B62M）[2006.01],B62D57,B62D,机动车；挂车（农用机械或机具的转向机构或在所要求轨道上的引导装置入A01B69/00；车轮，脚轮，车轴，提高车轮的附着力入B60B；车用轮胎，轮胎充气或轮胎的更换入B60C；拖有挂车的牵引车或类似车辆之间的连接入B60D；轨道和道路两用车辆，两栖或可转换的车辆入B60F；悬架装置的配置入B60G；加热、冷却、通风或其他空气处理设备入B60H；车窗，挡风玻璃，非固定车顶，门或类似装置，车辆不用时的护套入B60J；动力装置的布置，辅助驱动装置，传动装置，控制机构，仪表或仪表板入B60K；电动车辆的电力装备或动力装置入B60L；电动车辆的电源线入B60M；其他类目不包含的乘客用设备入B60N；适用于货运或装载特殊货物或物体的入B60P；用于一般车辆信号或照明装置的布置，其安装或支承或者其电路入B60Q；其他类目不包含的车辆，车辆配件或车辆部件入B60R；其他类目不包含的保养，清洗，修理，支承，举升或调试入B60S；制动器布置，制动控制系统或其部件入B60T；气垫车入B60V；摩托车及其所用附件入B62J，B62K；车辆试验入G01M）,2025-04-04
CN104950888B,十七自由度人形机器人及其控制方法,本发明公开了一种十七自由度人形机器人及其控制方法，该机器人包括：多组传感器阵列，设于机器人两只脚的前脚掌和后脚跟部分，每组传感器阵列包括至少四个传感器；当传感器位于指定路径时，产生传感信号；循迹检测模块，用于根据获取的传感器阵列的传感信号，分别判断机器人前脚掌偏移程度和后脚跟偏移程度；控制模块，用于根据前脚掌和后脚掌偏移程度的组合选择预设的循迹策略，控制机器人运动。本发明通过多组传感器可以更准确测量智能机器人的偏离程度，从而实现对机器人的精确控制。,武汉,湖北,武汉理工大学,武汉理工大学,2015-06-19,G05D1/02,.二维的位置或航道控制[2020.01],-,CN103019237A | CN103770116A | CN201853137U | CN201926927U | CN203502825U | CN203901300U | CN204374769U | JP2011143536A,0,0,1,授权发明,-,-,未缴年费,洪山区,2035-06-19,中国,本发明公开了一种十七自由度人形机器人及其控制方法，该机器人包括：多组传感器阵列，设于机器人两只脚的前脚掌和后脚跟部分，每组传感器阵列包括至少四个传感器；当传感器位于指定路径时，产生传感信号；循迹检测模块，用于根据获取的传感器阵列的传感信号，分别判断机器人前脚掌偏移程度和后脚跟偏移程度；控制模块，用于根据前脚掌和后脚掌偏移程度的组合选择预设的循迹策略，控制机器人运动。本发明通过多组传感器可以更准确测量智能机器人的偏离程度，从而实现对机器人的精确控制。,十七自由度人形机器人及其控制方法,例如使用自动驾驶仪控制陆地、水、空中或空间运载工具的位置、航向、高度或姿态（特别适用于自主道路运载工具的驱动控制系统入B60W60/00)注释在该大组中，期望添加组G05D101/00-G05D111/00的引得码。[2024.01],G05D1,G05D,非电变量的控制或调节系统,2017-10-24
CN205060631U,一种人形机器人的搬运装置,本实用新型涉及搬运设备领域，具体涉及一种人形机器人的搬运装置，包括支撑组件和两个提拉组件，两个提拉组件分别可拆卸的安装在支撑组件的两端；支撑组件包括第一横向装置和第二横向装置；提拉组件包括连接装置和提拉带；第一横向装置和第二横向装置两端的下端面上分别设置有用于安装连接装置的滑动槽，且第一横向装置和第二横向装置上分别设置有贯穿上下两端面的安装槽，安装槽与滑动槽连通；连接装置的两端分别设置有与安装槽对应的安装螺孔；处于非使用状态时，第一横向装置和第二横向装置相互独立；处于使用状态时，通过紧固装置将连接装置固定在滑动槽内。使用该搬运装置可以方便省力的搬运物体，特别是在搬运机器人时，保护机器人免受损坏。,北京,北京,众德迪克科技(北京)有限公司,众德迪克科技(北京)有限公司,2015-10-27,B65G7/12,.载荷承载构件，如为承受载荷改进的吊钩、吊索、吊带、手套[2006.01],CN115535627A,-,0,0,1,实用新型,-,-,未缴年费,朝阳区,2025-10-27,中国,本实用新型涉及搬运设备领域，具体涉及一种人形机器人的搬运装置，包括支撑组件和两个提拉组件，两个提拉组件分别可拆卸的安装在支撑组件的两端；支撑组件包括第一横向装置和第二横向装置；提拉组件包括连接装置和提拉带；第一横向装置和第二横向装置两端的下端面上分别设置有用于安装连接装置的滑动槽，且第一横向装置和第二横向装置上分别设置有贯穿上下两端面的安装槽，安装槽与滑动槽连通；连接装置的两端分别设置有与安装槽对应的安装螺孔；处于非使用状态时，第一横向装置和第二横向装置相互独立；处于使用状态时，通过紧固装置将连接装置固定在滑动槽内。使用该搬运装置可以方便省力的搬运物体，特别是在搬运机器人时，保护机器人免受损坏。,一种人形机器人的搬运装置,辅助人工移动或倾卸重载荷的装置（辊道入B65G 13/00；倾卸或排空桶或容器入B65G 65/24）[2006.01],B65G7,B65G,运输或存储设备，例如用于装载或倾倒的输送机、商店输送系统或气动管道输送机（包装入B65B；处理薄或线状材料，例如纸张或线，入B65H；起重机入B66C；便携式或移动式提升或拖运设备，例如起重机，入B66D；用于提升或降低货物以进行装载或卸载的设备，例如叉车，入B66F9/00；清空瓶子、罐子、桶、桶或类似容器，未另行规定，入B67C9/00；输送或转移液体入B67D；填充或排放液化、固化或压缩气体的容器入F17C；流体管道系统入F17D）,2016-03-02
CN205022730U,人形机器人的腿形改良结构,本实用新型一种人形机器人的腿形改良结构，是提供人形机器人腿部结构做多点连结架撑，达到机器人架撑稳固省力的结构改良设计，主要将人形机械人下架具组成的两侧腿形架构，依平行杆相互组接，其中中段连结处设以电机锁固定定位，构成一膝关节状，配合平行连杆上端及与脚板连结底端，分别以伺服电机马达做不同轴向的转控连结，构成类似腿部的曲弧转控操作，通过平行连杆的组装，使机器人架撑定位时马达的出力，可收到省力安全且稳固确实的人形安全操控目的。,东莞,广东,东莞市达盛舵机科技有限公司,刘俊民,2015-08-13,B62D57/032,..带交替升起或顺序升起的支承座或支腿；带交替或顺序升起的支腿或滑道（B62D57/024优先）[2006.01],CN106005092A | CN106005092B | CN107685788A | CN207345971U,-,4,4,1,实用新型,-,-,期限届满 | 权利转移,-,2025-08-13,中国,本实用新型一种人形机器人的腿形改良结构，是提供人形机器人腿部结构做多点连结架撑，达到机器人架撑稳固省力的结构改良设计，主要将人形机械人下架具组成的两侧腿形架构，依平行杆相互组接，其中中段连结处设以电机锁固定定位，构成一膝关节状，配合平行连杆上端及与脚板连结底端，分别以伺服电机马达做不同轴向的转控连结，构成类似腿部的曲弧转控操作，通过平行连杆的组装，使机器人架撑定位时马达的出力，可收到省力安全且稳固确实的人形安全操控目的。,人形机器人的腿形改良结构,仅以具有除车轮或履带以外的其他推进装置或接地装置为特征的车辆，或者以车轮或履带加上具有除车轮或履带以外的其他推进装置为特征的车辆（雪橇入B62B；机动雪橇入B62M）[2006.01],B62D57,B62D,机动车；挂车（农用机械或机具的转向机构或在所要求轨道上的引导装置入A01B69/00；车轮，脚轮，车轴，提高车轮的附着力入B60B；车用轮胎，轮胎充气或轮胎的更换入B60C；拖有挂车的牵引车或类似车辆之间的连接入B60D；轨道和道路两用车辆，两栖或可转换的车辆入B60F；悬架装置的配置入B60G；加热、冷却、通风或其他空气处理设备入B60H；车窗，挡风玻璃，非固定车顶，门或类似装置，车辆不用时的护套入B60J；动力装置的布置，辅助驱动装置，传动装置，控制机构，仪表或仪表板入B60K；电动车辆的电力装备或动力装置入B60L；电动车辆的电源线入B60M；其他类目不包含的乘客用设备入B60N；适用于货运或装载特殊货物或物体的入B60P；用于一般车辆信号或照明装置的布置，其安装或支承或者其电路入B60Q；其他类目不包含的车辆，车辆配件或车辆部件入B60R；其他类目不包含的保养，清洗，修理，支承，举升或调试入B60S；制动器布置，制动控制系统或其部件入B60T；气垫车入B60V；摩托车及其所用附件入B62J，B62K；车辆试验入G01M）,2016-02-10
CN118876082A,一种人形机器人四肢躯干的驱动器及其控制方法,本发明公开了一种人形机器人四肢躯干的驱动器及其控制方法，涉及电机控制技术领域，驱动器安装于四肢躯干的关节处或代替机器人的骨架，驱动器包括电机、第一齿柱、第二齿柱、第一内齿圈和第二内齿圈；电机的转子内连接有中空状的电机轴；第一内齿圈和第二内齿圈设于电机轴内；第一齿柱和第二齿柱分别与第一内齿圈和第二内齿圈啮合：本发明的驱动器本身可作为人形四肢类骨骼支撑结构，也可组合形成仿生肌肉群；能够实现机械四肢仿生肌肉收缩、躯干支撑功能；结构紧凑，响应速度快效率高，产热少便于散热；在控制方面采用基于BP神经网络对PID控制器参数进行自适应整定的电机控制方法，能够确保在面对不同负载条件时，实时输出高精度的扭矩。,常州,江苏,溧阳智行飞远检测技术有限公司,溧阳智行飞远检测技术有限公司,2024-08-21,B25J11/00,不包含在其他组的机械手[2006.01],-,CN109739080A | CN208363206U | CN214626757U | CN221575057U | US20190222103A1,0,0,1,发明申请,-,-,实质审查,溧阳市,-,中国,本发明公开了一种人形机器人四肢躯干的驱动器及其控制方法，涉及电机控制技术领域，驱动器安装于四肢躯干的关节处或代替机器人的骨架，驱动器包括电机、第一齿柱、第二齿柱、第一内齿圈和第二内齿圈；电机的转子内连接有中空状的电机轴；第一内齿圈和第二内齿圈设于电机轴内；第一齿柱和第二齿柱分别与第一内齿圈和第二内齿圈啮合：本发明的驱动器本身可作为人形四肢类骨骼支撑结构，也可组合形成仿生肌肉群；能够实现机械四肢仿生肌肉收缩、躯干支撑功能；结构紧凑，响应速度快效率高，产热少便于散热；在控制方面采用基于BP神经网络对PID控制器参数进行自适应整定的电机控制方法，能够确保在面对不同负载条件时，实时输出高精度的扭矩。,一种人形机器人四肢躯干的驱动器及其控制方法,不包含在其他组的机械手[2006.01],B25J11,B25J,机械手；装有操纵装置的容器（单独采摘水果、蔬菜、啤酒花或类似作物的自动装置入A01D46/30；外科用的针头操纵器入A61B17/062；与滚轧机有关的机械手入B21B39/20；与锻压机有关的机械手入B21J13/10；夹持轮子或其部件的装置入B60B30/00；起重机入B66C；用于核反应堆中所用的燃料或其他材料的处理设备入G21C19/00；机械手与加有防辐射的小室或房间的组合结构入G21F7/06）〔5〕[2006.01],-
CN101991956A,一种小型双足人形机器人专用电机,本发明公开一种小型双足人形机器人专用电机，包括：伺服电机主体、动力舵盘和支撑舵盘。所述小型双足人形机器人专用电机，传统的电机的基础上加上了一个专门用于机器人关节安装的U型结构件，可以安装在机器人专用舵机的两个输出端上。同时具备电子自锁功能，这样可以降低控制系统的实时响应需求，为后续功能腾出足够空间。实现满足小型机器人的控制与使用。,北京,北京,北京汉库机器人技术有限公司,北京汉库机器人技术有限公司,2009-08-31,A63H11/18,. 能作逼真走路动作的人、物形态玩具[2006.01],-,-,0,0,1,发明申请,-,-,撤回-视为撤回,海淀区,-,中国,本发明公开一种小型双足人形机器人专用电机，包括：伺服电机主体、动力舵盘和支撑舵盘。所述小型双足人形机器人专用电机，传统的电机的基础上加上了一个专门用于机器人关节安装的U型结构件，可以安装在机器人专用舵机的两个输出端上。同时具备电子自锁功能，这样可以降低控制系统的实时响应需求，为后续功能腾出足够空间。实现满足小型机器人的控制与使用。,一种小型双足人形机器人专用电机,自动式玩具人、物形态[2006.01],A63H11,A63H,玩具，如陀螺、玩偶、滚铁环、积木,-
CN208176962U,可更换盔甲的多关节人形机器人,本实用新型提供了一种可更换盔甲的多关节人形机器人，由伺服电机模块、伺服电机模块连接件组成的可实现多关节调动的核心机器人及结合在所述核心机器人外观上的盔甲组成。结合在核心机器人上的盔甲上的结合口为统一形状及大小，可通过多样的组装方式组装出多种形态及颜色的多关节人形机器人；以简单的形态设计出来的核心机器人和盔甲上的结合口更有利于把盔甲组装到核心机器人上；除正常提供的盔甲以外还提供可3D打印的盔甲设计文件，使采购了核心机器人的消费者可以按照自己的意愿设计机器人外观并组装。,深圳,广东,韩端国际教育科技(深圳)有限公司,韩端科技(深圳)有限公司,2018-03-29,A63H13/00,有自动部件的玩具人、物形态，可以具有或不具有玩具整体的运动[2006.01],CN108245901A,-,0,0,2,实用新型,-,-,授权 | 一案双申 | 权利转移,宝安区,2028-03-29,中国,本实用新型提供了一种可更换盔甲的多关节人形机器人，由伺服电机模块、伺服电机模块连接件组成的可实现多关节调动的核心机器人及结合在所述核心机器人外观上的盔甲组成。结合在核心机器人上的盔甲上的结合口为统一形状及大小，可通过多样的组装方式组装出多种形态及颜色的多关节人形机器人；以简单的形态设计出来的核心机器人和盔甲上的结合口更有利于把盔甲组装到核心机器人上；除正常提供的盔甲以外还提供可3D打印的盔甲设计文件，使采购了核心机器人的消费者可以按照自己的意愿设计机器人外观并组装。,可更换盔甲的多关节人形机器人,有自动部件的玩具人、物形态，可以具有或不具有玩具整体的运动[2006.01],A63H13,A63H,玩具，如陀螺、玩偶、滚铁环、积木,2018-12-04
